24,2,0
24,93,1
75,54,1
27,66,0
77,22,1
85,88,0
51,80,0
92,18,0
4,19,0
52,42,0
57,54,1
23,68,1
66,94,1
83,34,0
46,41,1
48,99,1
68,13,0
59,37,0
37,61,0
68,34,1
47,87,1
70,25,0
62,7,1
78,56,1
45,59,1
80,51,0
97,23,0
50,74,0
23,88,1
51,40,0
54,53,0
46,6,0
37,3,0
50,90,1
58,58,0
63,63,1
58,43,0
43,84,0
58,10,0
10,18,1
10,87,0
69,48,0
38,80,1
48,74,0
86,61,0
71,68,0
78,76,0
94,33,1
4,56,1
30,6,1
23,14,0
54,6,1
69,76,1
61,23,1
95,100,0
58,47,0
70,88,0
92,93,0
64,60,1
97,48,1
61,99,1
21,4,0
100,24,1
4,7,1
2,58,1
5,42,0
77,13,0
25,33,0
53,40,1
11,48,1
3,32,0
15,99,1
96,36,0
42,64,0
54,68,1
0,6,1
6,82,0
85,33,1
2,50,1
56,84,1
15,78,1
42,34,1
55,22,1
5,78,0
97,16,1
28,40,0
6,34,1
80,85,0
8,66,1
55,100,1
87,36,1
84,86,1
82,9,1
25,10,1
32,46,0
44,32,0
43,16,0
40,43,0
0,53,1
49,64,0
